127.0.0.1 - - [07/Jun/2014:11:30:52 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [07/Jun/2014:11:30:55 +0800] "GET /Magic_Fox/index.jsp HTTP/1.1" 200 4005
0:0:0:0:0:0:0:1 - - [07/Jun/2014:11:30:56 +0800] "GET /Magic_Fox/View/Home/Public/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2014:11:30:56 +0800] "GET /Magic_Fox/View/Home/Public/Image/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2014:11:30:56 +0800] "GET /Magic_Fox/View/Home/Public/Image/work.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2014:11:30:56 +0800] "GET /Magic_Fox/View/Home/Public/Image/life.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2014:11:30:56 +0800] "GET /Magic_Fox/View/Home/Public/Image/study.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2014:11:30:56 +0800] "GET /Magic_Fox/View/Home/Public/Image/soccer.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2014:11:30:56 +0800] "GET /Magic_Fox/View/Home/Public/Image/webIndex.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2014:11:30:56 +0800] "GET /Magic_Fox/View/Home/Public/Image/guiter.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2014:11:30:56 +0800] "GET /Magic_Fox/View/Home/Public/Image/webAdmin.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2014:11:30:56 +0800] "GET /Magic_Fox/View/Home/Public/Image/volunteer.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2014:11:30:56 +0800] "GET /Magic_Fox/View/Home/Public/Image/system.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2014:11:30:56 +0800] "GET /Magic_Fox/View/Home/Public/Image/breaking.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2014:11:30:56 +0800] "GET /Magic_Fox/View/Home/Public/Image/bicycle.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2014:11:30:56 +0800] "GET /Magic_Fox/View/Home/Public/Image/head.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2014:11:30:56 +0800] "GET /Magic_Fox/View/Home/Public/Image/travel.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2014:11:30:56 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Jun/2014:11:30:56 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Jun/2014:11:43:16 +0800] "GET /Magic_Fox/View/Study/webIndex/index.jsp HTTP/1.1" 200 1270
0:0:0:0:0:0:0:1 - - [07/Jun/2014:11:43:24 +0800] "GET /Magic_Fox/index.jsp HTTP/1.1" 200 4005
0:0:0:0:0:0:0:1 - - [07/Jun/2014:11:43:27 +0800] "GET /Magic_Fox/View/Study/webIndex/index.jsp HTTP/1.1" 200 1270
0:0:0:0:0:0:0:1 - - [07/Jun/2014:11:51:39 +0800] "GET /Magic_Fox/View/Study/webIndex/index.jsp HTTP/1.1" 200 1270
0:0:0:0:0:0:0:1 - - [07/Jun/2014:12:06:21 +0800] "GET /Magic_Fox/View/Study/webIndex/index.jsp HTTP/1.1" 200 1270
